100164,mysql-creates-readable-log-files
100165,mysql-datadir-isam-table-privilege-escalation
100166,mysql-datadir-parameter-bof
100167,mysql-datadir-table-privilege-escalation
100168,mysql-directory-traversal-and-arbitrary-table-access
100169,mysql-directory-traversal-vulnerability
100170,mysql-dispatch_command-multiple-format-string
100171,mysql-double-free
100172,mysql-drop-priv-rename-table
100173,mysql-empty-bit-string-dos
100174,mysql-extractvalue-and-updatexml-scalar-xpath-dos
100175,mysql-federated-engine-show-table-status-dos
100176,mysql-fulltext-search-dos
100177,mysql-grant-access-weakness
100178,mysql-grant-execute-perimission-inheritance
100179,mysql-grant-global-password-change
100180,mysql-html-output-script-insertion
100181,mysql-if-query-dos
100182,mysql-innodb-dos
100183,mysql-insecure-tempfile
100184,mysql-libc-code-exec
100185,mysql-libmysqlclient-readonerow-bof
100186,mysql-library-loading-path-traversal
100187,mysql-local-buffer-overflow
100188,mysql-login-memory-disclosure
100189,mysql-merge-table-revoke-bypass
100190,mysql-merge-union-thread-dos
100191,mysql-multibyte-encoding-sql-injection
100192,mysql-myisam-table-privilege-check-bypass
100193,mysql-mysqld_multi-symlink
100194,mysql-mysql_uninstall_plugin-unauthenticated-plugin-uninstall
100195,mysql-my_net_skip_rest-packet-length-dos
100196,mysql-null-byte-log-bypass
100197,mysql-obsolete-version
100198,mysql-preauth-password-packet-dos
100199,mysql-privs-override-via-views
100200,mysql-real-connection-bof
100201,mysql-root-privilege-escalation
100202,mysql-set-password-bof
100203,mysql-shared-library-code-exec
100204,mysql-show-grants-hash-disclosure
100205,mysql-sql-security-invoker-privs-not-restored
100206,mysql-system-table-symlink-overwrite
100207,mysql-temporary-table-symlink
100208,mysql-unauthorized-user-create-db
100209,mysql-user-functions-bof
100210,mysql-user-functions-bof2
100211,mysql-view-definer-privilege-escalation
100212,mysql-vio_verify_callback-zero-depth-x-509-certificate
100213,mysql-weak-password-encryption
100214,mysql-yassl-certdecodergetname-multiple-bofs
100215,mysql-yassl-multiple-bof
100216,mysql-zlib-bof
100217,oracle-mysql-cve-2001-1453
100218,oracle-mysql-cve-2003-1331
100219,oracle-mysql-cve-2004-0457
100220,oracle-mysql-cve-2005-0004
100221,oracle-mysql-cve-2005-1636
100222,oracle-mysql-cve-2005-2558
100223,oracle-mysql-cve-2005-2573
100224,oracle-mysql-cve-2006-3469
100225,oracle-mysql-cve-2006-3486
100226,oracle-mysql-cve-2006-7232
100227,oracle-mysql-cve-2008-7247
100228,oracle-mysql-cve-2009-4019
